Frequency (Hz),Amplitude (Vrms),Amplitude (dB)
0.0,2.3893886480116797,7.565735920568205
100.0,10.922390091124536,20.76635366445913
200.0,36.55180165914302,31.258175768881955
300.0,35.73263614992842,31.061301143044577
400.0,1.136253718497986,1.109506350051709
500.0,13.270379782473173,22.45766704066878
600.0,10.431379230043499,20.366834687028593
700.0,20.851567623471425,26.382774217017047
800.0,19.65933964208807,25.87137851548349
900.0,2.8574217935963286,9.119487055544646
1000.0,12.049313454383343,21.619246047816656
1100.0,6.826318085700158,16.683730424373103
1200.0,7.028504509167705,16.937258555850757
1300.0,6.218236491319208,15.873344701272089
1400.0,4.815284293049354,13.6524386568672
1500.0,10.43736575722132,20.371818054819983
1600.0,5.283050557970798,14.457695336748838
1700.0,3.33051542781345,10.45022899525263
1800.0,2.9800344078756678,9.484425570549956
1900.0,4.655956627038614,13.360178519069045
2000.0,8.770041348939271,18.86003281959962
2100.0,3.4612687756980822,10.784706491925714
2200.0,0.6669486080396043,-3.518152590162762
2300.0,0.9796618832602282,-0.17847578352265775
2400.0,4.139431826933557,12.33881469023967
2500.0,6.749624347973237,16.585592054719108
2600.0,2.2034159167084413,6.861929645992034
2700.0,2.009480639093171,6.061676524319997
2800.0,1.7889616780887885,5.0520207501691825
2900.0,3.169824476295861,10.020704291129775
3000.0,4.811732679880942,13.646029834382688
3100.0,1.0895117749087189,0.7446385649944036
3200.0,3.515706817996625,10.920253024082918
3300.0,2.8702271714295686,9.158325428716909
3400.0,2.2113279654394185,6.893063164719779
3500.0,2.9362333127019533,9.355811231921885
3600.0,0.8976761181889938,-0.9376065729996392
3700.0,3.674501368497223,11.303968269208495
3800.0,2.7375110135821226,8.747117502196403
3900.0,1.0548637098628033,0.4639270338562235
4000.0,1.3324944741785323,2.4933083338849467
4100.0,1.1735843108624087,1.3902858996119565
4200.0,3.6363739268127078,11.21337070333122
4300.0,2.6880391738968354,8.58871187159182
4400.0,0.22344274804838576,-13.01667472056412
4500.0,0.597414224551161,-4.474488819406307
4600.0,1.4121943475233802,2.997889376939783
4700.0,3.0542783167892176,9.698172179875797
4800.0,2.135581717166972,6.590323883658883
4900.0,0.7279104281175708,-2.758441176573458
5000.0,1.2220434627653027,1.7417330429082443
5100.0,1.3568278568120258,2.650495028677124
5200.0,2.2896887135371515,7.1955288679166065
5300.0,1.7601146775944703,4.910819290651503
5400.0,1.2341948929319142,1.8276748996512457
5500.0,1.7110178101963418,4.665090603798866
5600.0,1.1232951058883358,1.0098773340042546
5700.0,1.4834926871759702,3.42570819638695
5800.0,1.4528224040884856,3.244250570365803
5900.0,1.5162056709707266,3.615162333435922
6000.0,1.9833095742403686,5.947810168033137
6100.0,0.7753270610749625,-2.2103011535554105
6200.0,0.7273612970629556,-2.764996230012706
6300.0,1.2682238374317347,2.0639182378327137
6400.0,1.4848324651620344,3.433549092460985
6500.0,1.9270680385040249,5.697940969036907
6600.0,0.4163821235078876,-7.610158485636455
6700.0,0.31609086658328794,-10.003761057542558
6800.0,1.0845396782284182,0.7049089088551304
6900.0,1.3073060558057856,2.327545459154094
7000.0,1.853789328223845,5.361207554226869
7100.0,0.5026626247696533,-5.974468106431372
7200.0,0.7223355354414368,-2.8252203881895688
7300.0,1.0225068108948867,0.19332419030444037
7400.0,1.0338534962436836,0.2891800153830068
7500.0,1.5769449828037703,3.9563308344778694
7600.0,0.6746203414217024,-3.4188113585649664
7700.0,1.0274269749272698,0.2350192773810741
