Frequency (Hz),Amplitude (Vrms),Amplitude (dB)
0.0,3.100317981499096,9.828124783321998
100.0,5.0943613582986025,14.1417949505551
200.0,30.686029403761857,29.73881393703326
300.0,31.771548587103258,30.040767668556512
400.0,3.9444995877680764,11.919838300184583
500.0,5.862016596791417,15.360940873945845
600.0,6.268026197772996,15.942616059456602
700.0,19.60374101340212,25.84677912758426
800.0,20.354343526522065,26.173141999298686
900.0,2.257146103254992,7.071193430418581
1000.0,5.200954339860298,14.32166082080206
1100.0,4.376908959916769,12.823350266890836
1200.0,10.989889610417851,20.81986660219733
1300.0,11.698312713948049,21.362464530881624
1400.0,0.7087244971620026,-2.990451110570622
1500.0,5.044901339322523,14.057053547409632
1600.0,3.9698013435161488,11.97537548753961
1700.0,7.3987387969120775,17.383153907531934
1800.0,7.98426565545466,18.044699570543955
1900.0,0.6219624962707885,-4.124716041015402
2000.0,4.608231647655116,13.270686043590352
2100.0,3.310777358549594,10.398599530450657
2200.0,4.979811233796094,13.944257611523454
2300.0,5.623127118434845,14.999558028755436
2400.0,0.7845549663412936,-2.1075324821297707
2500.0,4.467371694260204,13.00104176289537
2600.0,3.222929698379926,10.165016647397032
2700.0,3.6188406667736346,11.171389241252797
2800.0,4.065608276843642,12.182510637047452
2900.0,0.8529626011364306,-1.3814002084364758
3000.0,4.04801322975852,12.14483846399734
3100.0,2.840256702801563,9.067151868352676
3200.0,2.563542795896034,8.176811439365235
3300.0,2.978418696453495,9.479714988391065
3400.0,1.032625908326632,0.27886034377224383
3500.0,3.8438379362444652,11.695301373488734
3600.0,2.7093800611356293,8.657398608430132
3700.0,1.7844739471177105,5.030204234904174
3800.0,2.116959109676898,6.51424938889312
3900.0,0.9162753156706397,-0.7594802621952474
4000.0,3.30040450344562,10.371343420884433
4100.0,2.434973613415844,7.729885186909973
4200.0,1.2286490203784444,1.7885567743769015
4300.0,1.4533358384625652,3.2473196629504697
4400.0,1.1761148784305269,1.4089948809288821
4500.0,3.154473009299276,9.97853631585383
4600.0,2.334087889945675,7.3623441070250735
4700.0,0.8590168337980769,-1.3199665079056668
4800.0,1.1137852307402998,0.9360290933035247
4900.0,1.067177080599611,0.5647297895535002
5000.0,2.5909387308163354,8.269142862707188
5100.0,2.018039249598182,6.098592174772788
5200.0,0.494014518267668,-6.125205753862339
5300.0,0.9316814560946728,-0.6146509698064009
5400.0,1.1609254683931873,1.29608677712899
5500.0,2.3513319650273354,7.426278957678615
5600.0,1.9306002498317496,5.713847161094784
5700.0,0.3870791501896103,-8.244004421775509
5800.0,0.9452104060511042,-0.48943011518757107
5900.0,1.1185636676938988,0.9732141761922251
6000.0,1.9700421295409132,5.88951027380992
6100.0,1.6710562312004118,4.459821283799562
6200.0,0.2521030031048317,-11.968439617647356
6300.0,1.000045550904497,0.0003956411272241024
6400.0,1.1328458283426908,1.0834161945232441
6500.0,1.602250047112766,4.094605860528527
6600.0,1.4178431137583378,3.032563564781969
6700.0,0.3024563660872951,-10.386745400985385
6800.0,1.0186016049890465,0.16008712299544328
6900.0,0.9750000010265102,-0.21990767687558171
7000.0,1.2630562970104595,2.0284541676629835
7100.0,1.3297340902064907,2.4752960569130096
7200.0,0.4610757104931529,-6.7245551169308015
7300.0,1.1302878779534973,1.0637813985943818
7400.0,1.037070939955827,0.3161692990064025
7500.0,1.054657422945602,0.46222827353149426
7600.0,1.2514619062704617,1.948352689785525
7700.0,0.5066730010441892,-5.905444744638234
